,Name,Author,Genre,User Rating,Reviews,Weighted Rating
178,"Oh, the Places You'll Go!",Dr. Seuss,Fiction,4.8999999999999995,21834.0,4.899523545084607
116,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,Fiction,4.9,19622.0,4.899469935121087
140,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,4.8999999999999995,19576.0,4.899468691915843
310,The Very Hungry Caterpillar,Eric Carle,Fiction,4.8999999999999995,19546.0,4.899467877983223
36,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Fiction,4.9,14344.0,4.899275394933973
69,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,Fiction,4.9,12619.0,4.899176631996323
151,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,Fiction,4.9,11881.0,4.899125646462951
120,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,Fiction,4.9,10052.0,4.898967137926996
349,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,Fiction,4.9,9413.0,4.898897296777298
208,Strange Planet (Strange Planet Series),Nathan W. Pyle,Fiction,4.9,9382.0,4.898893667538535
70,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,Fiction,4.9,9089.0,4.898858147550455
312,The Wonderful Things You Will Be,Emily Winfield Martin,Fiction,4.9,8842.0,4.898826382987437
274,The Magnolia Story,Chip Gaines,Non Fiction,4.9,7861.0,4.898680609590461
118,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,Fiction,4.9,7758.0,4.898663175695376
68,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,Fiction,4.9,7235.0,4.898567031703171
196,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,Fiction,4.9,7150.0,4.898550084116524
108,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,Fiction,4.9,7038.0,4.898527131384517
330,Unfreedom of the Press,Mark R. Levin,Non Fiction,4.9,5956.0,4.89826121384039
112,Hamilton: The Revolution,Lin-Manuel Miranda,Non Fiction,4.9,5867.0,4.898235002463661
71,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,Fiction,4.9,5470.0,4.898107763672682
267,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,Fiction,4.9,5396.0,4.898081990529258
66,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,Fiction,4.9,5062.0,4.897956355078536
67,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,Fiction,4.9,4786.0,4.897839405877142
197,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,Fiction,4.9,3836.0,4.897309438302468
177,Obama: An Intimate Portrait,Pete Souza,Non Fiction,4.9,3192.0,4.896772825811538
119,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,Fiction,4.9,3146.0,4.896726187416103
128,Humans of New York : Stories,Brandon Stanton,Non Fiction,4.9,2812.0,4.89634238488784
159,Little Blue Truck,Alice Schertle,Fiction,4.9,1884.0,4.8945754578581235
342,Where the Crawdads Sing,Delia Owens,Fiction,4.8,87841.0,4.79992352414194
30,Becoming,Michelle Obama,Non Fiction,4.8,61133.0,4.799890133309554
280,The Nightingale: A Novel,Kristin Hannah,Fiction,4.8,49288.0,4.799863749712021
313,The Wonky Donkey,Craig Smith,Fiction,4.8,30183.0,4.799777612658685
328,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Non Fiction,4.8,29673.0,4.7997737951715065
322,To Kill a Mockingbird,Harper Lee,Fiction,4.8,26234.0,4.79974418387368
217,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Non Fiction,4.8,25554.0,4.799737386368077
230,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Non Fiction,4.8,23358.0,4.799712735821562
200,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,Non Fiction,4.8,23047.0,4.799708865644838
348,Wonder,R. J. Palacio,Fiction,4.8,21625.0,4.79968975415684
163,Love You Forever,Robert Munsch,Fiction,4.8,18613.0,4.79963964903729
188,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,Fiction,4.8,16990.0,4.799605300672194
262,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,Fiction,4.8,16949.0,4.799604347965705
132,If Animals Kissed Good Night,Ann Whitford Paul,Fiction,4.8,16643.0,4.799597089601046
39,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,Non Fiction,4.8,16244.0,4.7995872154379615
