,Name,Author,Genre,Price
56,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,Non Fiction,105.0
307,The Twilight Saga Collection,Stephenie Meyer,Fiction,82.0
112,Hamilton: The Revolution,Lin-Manuel Miranda,Non Fiction,54.0
228,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,Non Fiction,53.0
115,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,Fiction,52.0
191,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,46.0
333,Watchmen,Alan Moore,Fiction,42.0
281,The Official SAT Study Guide,The College Board,Non Fiction,40.0
220,The Alchemist,Paulo Coelho,Fiction,39.0
282,"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,Non Fiction,36.0
11,A Stolen Life: A Memoir,Jaycee Dugard,Non Fiction,32.0
87,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,Fiction,32.0
119,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,Fiction,30.0
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,Fiction,30.0
262,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,Fiction,30.0
116,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,Fiction,30.0
40,Capital in the Twenty First Century,Thomas Piketty,Non Fiction,28.0
216,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,28.0
188,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,Fiction,27.0
167,"Mastering the Art of French Cooking, Vol. 2",Julia Child,Non Fiction,27.0
205,Sookie Stackhouse,Charlaine Harris,Fiction,25.0
144,Killing Kennedy: The End of Camelot,Bill O'Reilly,Non Fiction,25.0
28,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,Non Fiction,24.0
320,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,Non Fiction,23.0
318,Thomas Jefferson: The Art of Power,Jon Meacham,Non Fiction,23.0
177,Obama: An Intimate Portrait,Pete Souza,Non Fiction,22.0
1,11/22/63: A Novel,Stephen King,Fiction,22.0
120,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,Fiction,22.0
59,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,Fiction,22.0
124,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,Non Fiction,22.0
214,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,Non Fiction,22.0
324,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,Fiction,21.0
215,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,Non Fiction,21.0
286,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,Non Fiction,21.0
323,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,Non Fiction,21.0
134,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,Non Fiction,21.0
290,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Non Fiction,21.0
154,Leonardo da Vinci,Walter Isaacson,Non Fiction,21.0
232,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,Non Fiction,21.0
29,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,Non Fiction,21.0
219,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,20.571428571428573
329,Under the Dome: A Novel,Stephen King,Fiction,20.0
136,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,Fiction,20.0
251,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,Fiction,20.0
95,George Washington's Sacred Fire,Peter A. Lillback,Non Fiction,20.0
