,Name,Author,Genre,Weighted Rating,Reviews
342,Where the Crawdads Sing,Delia Owens,Fiction,4.79992352414194,87841.0
248,The Girl on the Train,Paula Hawkins,Fiction,4.100241302599869,79446.0
30,Becoming,Michelle Obama,Non Fiction,4.799890133309554,61133.0
104,Gone Girl,Gillian Flynn,Fiction,4.000399236660597,57271.0
240,The Fault in Our Stars,John Green,Fiction,4.699940209714077,50482.0
280,The Nightingale: A Novel,Kristin Hannah,Fiction,4.799863749712021,49288.0
88,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,Fiction,3.8006401305345534,47265.0
276,The Martian,Andy Weir,Fiction,4.69992352275029,39459.0
19,All the Light We Cannot See,Anthony Doerr,Fiction,4.600018674029007,36348.0
220,The Alchemist,Paulo Coelho,Fiction,4.699915711980842,35799.0
251,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,Fiction,3.900784494393479,33844.0
260,The Hunger Games,Suzanne Collins,Fiction,4.699906074646147,32122.0
261,The Hunger Games (Book 1),Suzanne Collins,Fiction,4.699906074646147,32122.0
313,The Wonky Donkey,Craig Smith,Fiction,4.799777612658685,30183.0
328,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Non Fiction,4.7997737951715065,29673.0
135,Inferno,Dan Brown,Fiction,4.100646033904117,29651.0
255,The Handmaid's Tale,Margaret Atwood,Fiction,4.300399587996385,29442.0
80,Educated: A Memoir,Tara Westover,Non Fiction,4.699894995986424,28729.0
298,The Silent Patient,Alex Michaelides,Fiction,4.500158831267742,27536.0
61,Divergent,Veronica Roth,Fiction,4.600025039784244,27098.0
171,Mockingjay (The Hunger Games),Suzanne Collins,Fiction,4.500163546737824,26741.0
300,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Non Fiction,4.600025613697193,26490.0
322,To Kill a Mockingbird,Harper Lee,Fiction,4.79974418387368,26234.0
160,Little Fires Everywhere,Celeste Ng,Fiction,4.500170122151476,25706.0
110,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,Fiction,4.400314853456431,25624.0
217,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Non Fiction,4.799737386368077,25554.0
125,How to Win Friends & Influence People,Dale Carnegie,Non Fiction,4.699879361552259,25001.0
117,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,Fiction,4.000952913558744,23973.0
9,A Man Called Ove: A Novel,Fredrik Backman,Fiction,4.600028446914191,23848.0
85,Fifty Shades Darker,E L James,Fiction,4.400341366171433,23631.0
230,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Non Fiction,4.799712735821562,23358.0
243,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Non Fiction,4.699870612745576,23308.0
227,The Book Thief,Markus Zusak,Fiction,4.600029305781559,23148.0
212,Sycamore Row (Jake Brigance),John Grisham,Fiction,4.500189169130727,23114.0
200,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,Non Fiction,4.799708865644838,23047.0
269,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,Non Fiction,4.50019311467261,22641.0
41,Catching Fire (The Hunger Games),Suzanne Collins,Fiction,4.699866648472273,22614.0
195,Ready Player One: A Novel,Ernest Cline,Fiction,4.600030100320978,22536.0
99,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,Non Fiction,4.600030434694085,22288.0
184,Orphan Train,Christina Baker Kline,Fiction,4.600030930693561,21930.0
178,"Oh, the Places You'll Go!",Dr. Seuss,Fiction,4.899523545084607,21834.0
348,Wonder,R. J. Palacio,Fiction,4.79968975415684,21625.0
3,1984 (Signet Classics),George Orwell,Fiction,4.699859254207421,21424.0
86,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,Fiction,4.500215747305062,20262.0
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,Fiction,4.699847231162526,19735.0
296,The Shack: Where Tragedy Confronts Eternity,William P. Young,Fiction,4.600034390572731,19720.0
7,A Gentleman in Moscow: A Novel,Amor Towles,Fiction,4.699846952500277,19699.0
116,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,Fiction,4.899469935121087,19622.0
140,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,4.899468691915843,19576.0
310,The Very Hungry Caterpillar,Eric Carle,Fiction,4.899467877983223,19546.0
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Non Fiction,4.699841157685395,18979.0
183,Origin: A Novel (Robert Langdon),Dan Brown,Fiction,4.300621902462671,18904.0
163,Love You Forever,Robert Munsch,Fiction,4.79963964903729,18613.0
168,Milk and Honey,Rupi Kaur,Non Fiction,4.699830077325914,17739.0
62,Divergent / Insurgent,Veronica Roth,Fiction,4.50024713360112,17684.0
0,10-Day Green Smoothie Cleanse,JJ Smith,Non Fiction,4.699826275639585,17350.0
90,First 100 Words,Roger Priddy,Non Fiction,4.699826005446166,17323.0
345,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Non Fiction,4.4004730082867205,17044.0
188,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,Fiction,4.799605300672194,16990.0
262,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,Fiction,4.799604347965705,16949.0
132,If Animals Kissed Good Night,Ann Whitford Paul,Fiction,4.799597089601046,16643.0
39,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,Non Fiction,4.7995872154379615,16244.0
21,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,Non Fiction,4.600042577675489,15921.0
64,Doctor Sleep: A Novel,Stephen King,Fiction,4.699809813282046,15845.0
122,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Non Fiction,4.699809019634893,15779.0
123,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,Non Fiction,4.400519145058501,15526.0
101,Go Set a Watchman: A Novel,Harper Lee,Fiction,3.602508785840965,14982.0
292,The Racketeer,John Grisham,Fiction,4.300810698867547,14493.0
36,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Fiction,4.899275394933973,14344.0
350,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Non Fiction,4.699789772727272,14331.0
97,Giraffes Can't Dance,Giles Andreae,Fiction,4.799522518973034,14038.0
87,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,Fiction,4.500312795839258,13964.0
258,The Help,Kathryn Stockett,Fiction,4.799516785630245,13871.0
341,When Breath Becomes Air,Paul Kalanithi,Non Fiction,4.799513567931779,13779.0
89,Fire and Fury: Inside the Trump White House,Michael Wolff,Non Fiction,4.201128733742559,13677.0
190,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,Non Fiction,4.300862774082287,13616.0
253,The Guardians: A Novel,John Grisham,Fiction,4.5003209332072,13609.0
115,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,Fiction,4.799502476646835,13471.0
233,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,Non Fiction,4.300899332306112,13061.0
5,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,Fiction,4.400637180957844,12643.0
69,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,Fiction,4.899176631996323,12619.0
226,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Non Fiction,4.799457933097714,12361.0
22,And the Mountains Echoed,Khaled Hosseini,Fiction,4.3009658457318345,12159.0
151,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,Fiction,4.899125646462951,11881.0
222,The Art of Racing in the Rain: A Novel,Garth Stein,Fiction,4.699745101649406,11813.0
